vibe_category,vibe_description,song_name,artist_name,recommendation_reasoning,genre_category,comment_score,extraction_confidence,source_url,data_source,relation_type,anchor_reference_artist,anchor_reference_song,delta_description,reasoning_text,playlist_name,playlist_id,curator,sequence_position,spotify_id,popularity,extraction_method,search_query,vibe_category_hint
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Ivy,Frank Ocean,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 11.,,82,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,10,2ZWlPOoWh0626oTaHrnl2a,82,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,soul ties,Michael Zeidel,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 12.,,19,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,11,06HKBe4wOcGXrLXF2rpLAu,19,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Swallow Me Whole,Kate Kristine,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 13.,,35,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,12,6qIARuaUzLwpCP243zHziL,35,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Nobody Gets Me,SZA,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 14.,,84,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,13,5Y35SjAfXjjG0sFQ3KOxmm,84,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Apocalypse,Cigarettes After Sex,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 15.,,4,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,14,3AVrVz5rK8Hrqo9YGiVGN5,4,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Ruthless (Nice Guys Always Finish Last),MarMar Oso,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 1.,,61,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,0,6HeCk6yewXH7WO4D93eub9,61,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,7 Years (Remix),Sik World,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 2.,,61,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,1,1kFlDnWmBTvCBxxeGDpIdp,61,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Dead and Cold,SadBoyProlific,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 3.,,0,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,2,1A43TfohQt3H6K5zg28ExD,0,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Empty,Juice WRLD,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 4.,,1,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,3,41MCdlvXOl62B7Kv86Bb1v,1,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,SAD!,XXXTENTACION,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 5.,,79,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,4,3ee8Jmje8o58CHK66QrVC2,79,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Someone You Loved,Lewis Capaldi,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 6.,,87,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,5,7qEHsqek33rTcFNT9PFqLf,87,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,All Girls Are The Same,Juice WRLD,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 7.,,81,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,6,4VXIryQMWpIdGgYR4TrjT1,81,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Alone,"SadBoyProlific, ivri",From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 8.,,0,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,7,6tAqYm2Wcy2yrPixShJMS6,0,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Suicidal (feat. Juice WRLD) - Remix,"YNW Melly, Juice WRLD",From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 9.,,71,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,8,4S2uhQE8L9V6p7rj7SiauJ,71,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,emotions,iann dior,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 10.,,2,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,9,5ls62WNKHUUrdF3r1cv83T,2,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Legends,Juice WRLD,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 11.,,66,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,10,1Knctxx9vGZxpZfF66BIEa,66,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Will You Remember Me?,Pcam,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 12.,,48,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,11,4UwDPReUKisbngLtJeSRyM,48,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,the remedy for a broken heart (why am I so in love),XXXTENTACION,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 13.,,72,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,12,4UKCKdYiLN6IMA5ZESUTL7,72,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Never Be Alright,Seon,From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 14.,,0,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,13,6zJffE1wHyAu5WwNYwt0VI,0,spotify_playlist,sad songs emotional,emotional_sad
,Depressing songs for the boys 😭😭😭 - My girlfriend just broke up with me 😭,Ruthless (Nice Guys Always Finish Last) (feat. Sage the Gemini & Derek King) - Remix,"MarMar Oso, Sage The Gemini, Derek King",From Spotify playlist: Depressing songs for the boys 😭😭😭 (curated by 3030 Music). Position 15.,,42,high,https://open.spotify.com/playlist/3Mr9ot7qJFgOC0oyiOHUwY,spotify,,,,,,Depressing songs for the boys 😭😭😭,3Mr9ot7qJFgOC0oyiOHUwY,3030 Music,14,5NLfXbKEaDKmb3kq0KUCms,42,spotify_playlist,sad songs emotional,emotional_sad
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Wind Shear,"Ghostnaut, Lunath",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 1.,,40,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,0,33xRLRHq485anywUECESNa,40,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Pharaoh's Chamber,"Yuforia, saikai",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 2.,,38,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,1,5MMO4MpTRCVspfLb1FwMfu,38,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Washed In Black,Copacetik,From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 3.,,0,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,2,4ODHx91bxdjrpnR0iaHAcJ,0,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Northern Lights,"Zen Guy, Soft dog, Blocktane",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 4.,,38,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,3,4muL5dhHmP3XPNgMYMHagf,38,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Seaside Serenade,"Ghostnaut, Lunath",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 5.,,37,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,4,01KUD37owwN5fg9FWkpuyp,37,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Waiting To Board,vhskid.,From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 6.,,38,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,5,29zJNvKmZbvuDt6bofVXfK,38,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Below The Horizon,"Alex Hue, Copacetik",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 7.,,0,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,6,1aR2xbUd2gJ3exnfJ2m9Rb,0,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Footsteps on a Path,"Lawrence Walther, vhskid.",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 8.,,36,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,7,0mq3fLwsVU4ATRLQVduyDF,36,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Forget Me,"Lofi Sleep Society, Cat Nap",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 9.,,39,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,8,0J61wcYCPrseCL6pO7EbZX,39,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Be Still,fnonose,From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 10.,,36,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,9,140aImwMTAaU9UPjKZbFEw,36,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Atlantis,"Jeremy Lim, Anna Toth",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 11.,,0,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,10,2YqUPr4QDIvpwi8BXNYZIE,0,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Asian Dream,MD Beats,From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 12.,,40,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,11,3jBnuDE30TgPwUjBYyrEwZ,40,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Mystik,Olma,From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 13.,,0,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,12,25HjqUZFeK2tgNuGHiXWCB,0,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Everything Will Be Okay,John Lee,From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 14.,,36,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,13,6r4cYCXaQ2p5RhpqnmPimb,36,spotify_playlist,productive work music,focus_study
,"Flow State — Productivity and Work Music - Steady, organic, low-tempo music to help you concentrate and be productive. Lo-fi  + Study Beats + Ambient + Instrumental Hiphop // Need more energy? Try =""https://open.spotify.com/playlist/4tbmtX1Ze7",Time,"v i v, fnonose",From Spotify playlist: Flow State — Productivity and Work Music (curated by jeremylim.ca). Position 15.,,35,high,https://open.spotify.com/playlist/5Ob9EjYpTvbmNGxhdQe5JM,spotify,,,,,,Flow State — Productivity and Work Music,5Ob9EjYpTvbmNGxhdQe5JM,jeremylim.ca,14,39c96gF88rEEIl0kd5BMK7,35,spotify_playlist,productive work music,focus_study
,"productive work lofi 🍉 focus & study music - Chill lo-fi playlist upbeat Instrumentals jazz hip hop beats office background working studying coding reading exams 2025 adhd flow concentration state chilled lounge for daily stress relief songs =""s",Colors,"Leo Motta, Leo G",From Spotify playlist: productive work lofi 🍉 focus & study music (curated by Chill Select). Position 1.,,47,high,https://open.spotify.com/playlist/3cnkhyqinMpD5O6f6qh5l4,spotify,,,,,,productive work lofi 🍉 focus & study music,3cnkhyqinMpD5O6f6qh5l4,Chill Select,0,0zFauNcMZ3cQUEbJWRS3zd,47,spotify_playlist,productive work music,focus_study
,"productive work lofi 🍉 focus & study music - Chill lo-fi playlist upbeat Instrumentals jazz hip hop beats office background working studying coding reading exams 2025 adhd flow concentration state chilled lounge for daily stress relief songs =""s",Don't Think,"Frances The Mute, marsquake",From Spotify playlist: productive work lofi 🍉 focus & study music (curated by Chill Select). Position 2.,,50,high,https://open.spotify.com/playlist/3cnkhyqinMpD5O6f6qh5l4,spotify,,,,,,productive work lofi 🍉 focus & study music,3cnkhyqinMpD5O6f6qh5l4,Chill Select,1,4lSegvIokCne15Ms94FhFj,50,spotify_playlist,productive work music,focus_study
,"productive work lofi 🍉 focus & study music - Chill lo-fi playlist upbeat Instrumentals jazz hip hop beats office background working studying coding reading exams 2025 adhd flow concentration state chilled lounge for daily stress relief songs =""s",Moleneind,"Tibeauthetraveler, Hoogway",From Spotify playlist: productive work lofi 🍉 focus & study music (curated by Chill Select). Position 3.,,43,high,https://open.spotify.com/playlist/3cnkhyqinMpD5O6f6qh5l4,spotify,,,,,,productive work lofi 🍉 focus & study music,3cnkhyqinMpD5O6f6qh5l4,Chill Select,2,2le35OyDtxaPZP4G3QVwq1,43,spotify_playlist,productive work music,focus_study
