vibe_category,vibe_description,song_name,artist_name,recommendation_reasoning,genre_category,comment_score,extraction_confidence,source_url,data_source,relation_type,anchor_reference_artist,anchor_reference_song,delta_description,reasoning_text,playlist_title,playlist_id,sequence_position,extraction_method,search_query,vibe_category_hint
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Who We Love,"Sam Smith, Ed Sheeran",From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 12 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,11,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",The One That You Needed,Kaustubh Patil,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 15 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,14,youtube_playlist,study music playlist,focus_study
,"Ultimate Study Music Playlist - NEW SONGS ADDED OFTEN. A huge playlist for studying and creative work, featuring a wide range of genres: acoustic, post rock ...",Atmospheric Entry,Thomas Frank,From YouTube playlist: Ultimate Study Music Playlist. Position 1 in sequence.,,0,medium,https://youtube.com/playlist?list=PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,youtube,,,,,,Ultimate Study Music Playlist,PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,0,youtube_playlist,study music playlist,focus_study
,"Ultimate Study Music Playlist - NEW SONGS ADDED OFTEN. A huge playlist for studying and creative work, featuring a wide range of genres: acoustic, post rock ...",Precipice,El Huervo,From YouTube playlist: Ultimate Study Music Playlist. Position 2 in sequence.,,0,medium,https://youtube.com/playlist?list=PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,youtube,,,,,,Ultimate Study Music Playlist,PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,1,youtube_playlist,study music playlist,focus_study
,"Ultimate Study Music Playlist - NEW SONGS ADDED OFTEN. A huge playlist for studying and creative work, featuring a wide range of genres: acoustic, post rock ...",Don't Wait,Bonobo,From YouTube playlist: Ultimate Study Music Playlist. Position 4 in sequence.,,0,medium,https://youtube.com/playlist?list=PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,youtube,,,,,,Ultimate Study Music Playlist,PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,3,youtube_playlist,study music playlist,focus_study
,"Ultimate Study Music Playlist - NEW SONGS ADDED OFTEN. A huge playlist for studying and creative work, featuring a wide range of genres: acoustic, post rock ...",Sapphire,Bonobo,From YouTube playlist: Ultimate Study Music Playlist. Position 5 in sequence.,,0,medium,https://youtube.com/playlist?list=PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,youtube,,,,,,Ultimate Study Music Playlist,PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,4,youtube_playlist,study music playlist,focus_study
,"Ultimate Study Music Playlist - NEW SONGS ADDED OFTEN. A huge playlist for studying and creative work, featuring a wide range of genres: acoustic, post rock ...",06 The Magnetic Tree / Lifeformed,Fastfall (Dustforce OST),From YouTube playlist: Ultimate Study Music Playlist. Position 13 in sequence.,,0,medium,https://youtube.com/playlist?list=PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,youtube,,,,,,Ultimate Study Music Playlist,PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,12,youtube_playlist,study music playlist,focus_study
,"Ultimate Study Music Playlist - NEW SONGS ADDED OFTEN. A huge playlist for studying and creative work, featuring a wide range of genres: acoustic, post rock ...",Lanai Gardens,FloFilz,From YouTube playlist: Ultimate Study Music Playlist. Position 15 in sequence.,,0,medium,https://youtube.com/playlist?list=PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,youtube,,,,,,Ultimate Study Music Playlist,PLx65qkgCWNJIs3FPaj8JZhduXSpQ_ZfvL,14,youtube_playlist,study music playlist,focus_study
,"Deep Focus  - music for studying, concentration, work - The ultimate relaxdaily focus music playlist. Can use it as music for studying, concentration, coding, writing, inventing, creating, ...",Bøstadelva [N°118],relaxdaily,"From YouTube playlist: Deep Focus  - music for studying, concentration, work. Position 4 in sequence.",,0,medium,https://youtube.com/playlist?list=PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,youtube,,,,,,"Deep Focus  - music for studying, concentration, work",PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,3,youtube_playlist,focus concentration music,focus_study
,"Deep Focus  - music for studying, concentration, work - The ultimate relaxdaily focus music playlist. Can use it as music for studying, concentration, coding, writing, inventing, creating, ...","relaxdaily (Inspiring Light Music - calm, relaxing, positive)",N°089,"From YouTube playlist: Deep Focus  - music for studying, concentration, work. Position 5 in sequence.",,0,medium,https://youtube.com/playlist?list=PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,youtube,,,,,,"Deep Focus  - music for studying, concentration, work",PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,4,youtube_playlist,focus concentration music,focus_study
,"Deep Focus  - music for studying, concentration, work - The ultimate relaxdaily focus music playlist. Can use it as music for studying, concentration, coding, writing, inventing, creating, ...","N°114 (light and calm music for studying, focus, think, heal, grow)",relaxdaily,"From YouTube playlist: Deep Focus  - music for studying, concentration, work. Position 6 in sequence.",,0,medium,https://youtube.com/playlist?list=PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,youtube,,,,,,"Deep Focus  - music for studying, concentration, work",PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,5,youtube_playlist,focus concentration music,focus_study
,"Deep Focus  - music for studying, concentration, work - The ultimate relaxdaily focus music playlist. Can use it as music for studying, concentration, coding, writing, inventing, creating, ...",Sandsoy (Evolution Edit) [N°117],relaxdaily,"From YouTube playlist: Deep Focus  - music for studying, concentration, work. Position 7 in sequence.",,0,medium,https://youtube.com/playlist?list=PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,youtube,,,,,,"Deep Focus  - music for studying, concentration, work",PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,6,youtube_playlist,focus concentration music,focus_study
,"Deep Focus  - music for studying, concentration, work - The ultimate relaxdaily focus music playlist. Can use it as music for studying, concentration, coding, writing, inventing, creating, ...",relaxdaily  [Beautiful Relaxing Instrumental Music - Yosemite],N°075,"From YouTube playlist: Deep Focus  - music for studying, concentration, work. Position 12 in sequence.",,0,medium,https://youtube.com/playlist?list=PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,youtube,,,,,,"Deep Focus  - music for studying, concentration, work",PLOzlQzU-yr65nTKt7tEbHBnnd0AiGJoqZ,11,youtube_playlist,focus concentration music,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,The Bones,"Maren Morris, Hozier",From YouTube playlist: Work From Home Spotify Playlist. Position 1 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,0,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Before You Go,Lewis Capaldi,From YouTube playlist: Work From Home Spotify Playlist. Position 2 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,1,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Circles,Post Malone,From YouTube playlist: Work From Home Spotify Playlist. Position 4 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,3,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Beautiful People (feat. Khalid),Ed Sheeran,From YouTube playlist: Work From Home Spotify Playlist. Position 5 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,4,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Dancing With A Stranger,"Sam Smith, Normani",From YouTube playlist: Work From Home Spotify Playlist. Position 6 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,5,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,I Like Me Better,Lauv,From YouTube playlist: Work From Home Spotify Playlist. Position 7 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,6,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Demons,Imagine Dragons,From YouTube playlist: Work From Home Spotify Playlist. Position 8 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,7,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",From YouTube playlist: Work From Home Spotify Playlist. Position 9 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,8,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Issues,Julia Michaels,From YouTube playlist: Work From Home Spotify Playlist. Position 10 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,9,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,"Sit Still, Look Pretty",Daya,From YouTube playlist: Work From Home Spotify Playlist. Position 11 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,10,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,No Judgement,Niall Horan,From YouTube playlist: Work From Home Spotify Playlist. Position 12 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,11,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,This City,Sam Fischer,From YouTube playlist: Work From Home Spotify Playlist. Position 13 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,12,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,Send My Love (To Your New Lover),Adele,From YouTube playlist: Work From Home Spotify Playlist. Position 14 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,13,youtube_playlist,work from home playlist,focus_study
,Work From Home Spotify Playlist - Clock in from the comfort of your own home with 8 hours of music to carry you through the day.,comethru,Jeremy Zucker,From YouTube playlist: Work From Home Spotify Playlist. Position 15 in sequence.,,0,medium,https://youtube.com/playlist?list=PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,youtube,,,,,,Work From Home Spotify Playlist,PLPz5VBapcZx2YYFt61NJt8Lctu2PyNRWZ,14,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",The Fate of Ophelia (Visualizer),Taylor Swift,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 1 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,0,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",BIRDS OF A FEATHER (BILLIE BY FINNEAS),Billie Eilish,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 2 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,1,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",In The Dark,Selena Gomez,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 3 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,2,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",EYES CLOSED,JISOO X ZAYN,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 4 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,3,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",Changes,Charlie Puth,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 5 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,4,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",WILDFLOWER (BILLIE BY FINNEAS),Billie Eilish,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 6 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,5,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",luther,Kendrick Lamar,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 7 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,6,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",CHIHIRO,Billie Eilish,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 8 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,7,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",Man I Need,Olivia Dean,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 9 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,8,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",Messy (Clean - Lyrics),Lola Young,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 10 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,9,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",Snooze (Clean - Lyrics),SZA,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 11 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,10,youtube_playlist,work from home playlist,focus_study
,"Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) - Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work) If you liked this playlist, we recommend ...",Ordinary,Alex Warren,From YouTube playlist: Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work). Position 12 in sequence.,,0,medium,https://youtube.com/playlist?list=PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,youtube,,,,,,Clean Office Music Playlist 2025 - Best Chill Working Songs 2025 (Clean Music for Work),PLV9Y77TQ4I9dbaEOCCt_pdPavAXOXMkkN,11,youtube_playlist,work from home playlist,focus_study
